#{"t_start": 1555246690.4109085, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
940.0,1717,30784.385255
5380.0,3856,30951.193499
2990.0,3774,31112.895593
1460.0,1958,31196.775903
2800.0,3093,31330.100384
1040.0,1756,31413.393132
340.0,1099,31462.893143
5080.0,4403,31661.054186
1680.0,2578,31777.736139
4750.0,4918,31999.600837
5530.0,4113,32186.86786
2260.0,2694,32312.593038
2410.0,2767,32441.628544
1980.0,2368,32551.365588
355.0,1248,32609.632461
3600.0,3818,32789.178098
540.0,1353,32851.786128
310.0,1417,32917.179039
720.0,1485,32985.6248
1360.0,2337,33092.743811
3180.0,4277,33289.515039
6455.0,5603,33542.455034
1020.0,1581,33615.491231
140.0,663,33646.969911
2020.0,2342,33755.912224
4150.0,3595,33921.619471
4280.0,3640,34077.903774
3050.0,3531,34229.084162
4790.0,3939,34398.883869
4080.0,3510,34556.702979
6200.0,5000,34784.192472
3710.0,3507,34944.754087
235.0,933,34987.80578
4170.0,3605,35159.291089
3735.0,3654,35327.94382
6000.0,4380,35524.460267
2910.0,3048,35663.436593
1380.0,2082,35757.592712
3600.0,3653,35916.786223
5130.0,3840,36088.151422
3525.0,3143,36229.687458
3610.0,3810,36393.269444
1120.0,1815,36471.24271
2610.0,3224,36620.694451
3850.0,3485,36783.356772
220.0,774,36819.275578
480.0,1443,36886.941923
310.0,1157,36940.185102
880.0,1731,37020.810572
3445.0,3617,37182.789302
3010.0,3062,37321.643795
2535.0,3135,37467.135358
5320.0,4899,37690.155333
5160.0,4710,37908.598939
2120.0,2512,38026.112216
205.0,886,38067.261491
3750.0,3162,38213.247072
2245.0,2673,38334.151512
6930.0,5017,38565.477456
2265.0,3099,38708.973185
1760.0,2272,38811.384855
820.0,1411,38874.803392
1160.0,1652,38947.093651
720.0,1544,39013.46531
5440.0,4167,39202.000833
3735.0,3416,39359.41089
2900.0,2963,39491.551394
3380.0,3595,39655.842874
3045.0,3079,39797.501503
2350.0,2795,39926.943913
1400.0,2484,40038.770975
220.0,947,40082.534943
3550.0,4033,40266.283448
4350.0,4296,40463.533895
4150.0,3584,40627.478738
1460.0,2311,40733.515528
3265.0,3405,40888.832525
1940.0,2365,40996.640997
3135.0,3703,41164.678311
3700.0,3505,41327.429163
355.0,1493,41397.057772
4550.0,4197,41594.388785
3900.0,3410,41742.653376
4215.0,3679,41903.354376
5810.0,4757,42125.980208
4790.0,4195,42321.109977
5690.0,4989,42547.084829
720.0,1381,42606.411308
3195.0,2923,42733.583256
6160.0,4572,42941.699065
5925.0,4243,43137.883301
3340.0,3459,43294.965208
3830.0,3551,43459.114437
1500.0,2055,43556.981808
1140.0,1937,43648.933526
2635.0,3236,43798.787679
4770.0,3514,43960.079529
1040.0,1613,44036.450188
6435.0,5197,44274.614205
3955.0,4513,44470.38546
1945.0,2293,44568.749687
3780.0,3588,44723.132176
4500.0,4403,44913.449303
