# {"t_start": 1550232864.192254, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
140.0,762,14432.643392
780.0,716,14465.282586
200.0,582,14492.108439
540.0,524,14516.553822
180.0,514,14540.268704
340.0,515,14563.79711
640.0,716,14597.593756
700.0,413,14616.074334
180.0,568,14641.81838
760.0,419,14660.787393
280.0,613,14689.069491
880.0,437,14709.973431
0.0,783,14746.742917
1140.0,544,14772.06972
500.0,577,14798.752719
140.0,508,14822.410185
160.0,679,14854.362254
100.0,548,14879.37069
1020.0,498,14902.133637
480.0,524,14926.496496
880.0,477,14948.177029
160.0,529,14972.721828
240.0,629,15001.352791
600.0,559,15026.793993
700.0,473,15048.556778
220.0,523,15072.477255
220.0,581,15098.98159
340.0,521,15123.041872
0.0,716,15155.424494
1120.0,607,15183.848042
640.0,631,15213.385858
1060.0,651,15243.544099
840.0,573,15269.85026
480.0,499,15292.552253
700.0,848,15331.538223
440.0,690,15363.554028
760.0,506,15386.707686
60.0,767,15421.589474
800.0,465,15442.713908
720.0,582,15469.099669
460.0,481,15491.063091
380.0,711,15523.732185
260.0,506,15547.000889
580.0,580,15573.201555
380.0,652,15602.619894
20.0,729,15636.804064
680.0,514,15659.963008
580.0,655,15689.701399
600.0,544,15714.7435
220.0,761,15749.595686
620.0,596,15776.533244
660.0,540,15801.590835
1340.0,510,15824.834242
540.0,649,15854.370323
960.0,731,15888.290904
400.0,527,15912.453602
400.0,530,15936.897019
420.0,525,15961.590523
600.0,780,15997.222718
300.0,632,16025.797559
380.0,519,16049.725804
600.0,518,16073.383504
1040.0,538,16098.568105
360.0,501,16122.501495
620.0,872,16162.583247
860.0,494,16185.31901
200.0,651,16214.724628
1460.0,885,16256.112424
340.0,415,16274.83324
1240.0,654,16304.528008
380.0,448,16324.811877
320.0,542,16349.868149
140.0,910,16390.99848
500.0,511,16414.308014
300.0,581,16441.35177
220.0,511,16464.895868
180.0,639,16494.84167
0.0,563,16520.755549
600.0,363,16537.154919
600.0,601,16565.764023
540.0,492,16588.474473
1660.0,696,16620.177641
660.0,514,16644.327146
220.0,561,16670.29248
340.0,519,16693.853601
540.0,639,16723.198798
880.0,609,16750.491294
0.0,407,16769.057546
560.0,511,16792.048913
580.0,721,16824.853078
220.0,557,16850.813431
840.0,524,16874.911945
1100.0,631,16903.653373
1920.0,753,16938.105004
240.0,511,16961.192071
1120.0,653,16991.210552
640.0,523,17016.304389
440.0,747,17050.894318
700.0,571,17077.573425
320.0,628,17107.287053
700.0,876,17147.414571
40.0,675,17177.366154
740.0,535,17201.009501
380.0,494,17223.160032
80.0,855,17262.133177
720.0,700,17293.30924
1060.0,541,17317.850008
500.0,611,17345.744788
360.0,624,17374.544864
200.0,431,17394.80912
520.0,516,17418.261071
240.0,567,17444.244183
1460.0,797,17481.65509
760.0,731,17515.355194
380.0,528,17539.195301
280.0,642,17568.47491
340.0,418,17587.908297
0.0,457,17609.132754
640.0,525,17633.756803
560.0,480,17656.132272
240.0,442,17676.141876
140.0,427,17695.473315
260.0,519,17719.233424
100.0,520,17743.161739
620.0,606,17771.449198
680.0,843,17810.83352
480.0,835,17849.069275
720.0,398,17867.741651
200.0,647,17897.648566
300.0,471,17919.045244
480.0,428,17940.009377
320.0,496,17962.537228
480.0,414,17981.93727
500.0,640,18011.053366
540.0,520,18034.885618
300.0,514,18058.688022
1700.0,681,18090.043495
120.0,472,18111.756358
880.0,1269,18170.271214
460.0,676,18200.882509
1560.0,481,18222.590736
620.0,515,18245.913861
360.0,534,18270.357509
420.0,544,18295.52961
220.0,485,18317.513913
260.0,552,18343.676202
1580.0,605,18371.89086
960.0,750,18406.932014
620.0,489,18429.298285
160.0,434,18449.086519
340.0,558,18474.816836
440.0,636,18504.41234
380.0,527,18528.791708
1760.0,614,18556.877157
380.0,424,18576.733308
580.0,527,18600.835828
780.0,637,18629.92252
500.0,503,18652.822623
560.0,397,18670.950404
600.0,618,18698.999455
780.0,741,18732.190349
800.0,626,18760.778977
980.0,580,18787.288287
780.0,437,18807.268072
840.0,575,18833.902211
680.0,513,18858.237473
0.0,591,18885.598213
360.0,355,18901.618437
1140.0,804,18937.623365
640.0,524,18961.416692
1000.0,642,18991.248702
1240.0,873,19031.370119
1360.0,907,19072.697899
180.0,692,19104.252961
580.0,577,19130.84931
400.0,427,19150.90352
520.0,934,19194.00561
800.0,423,19213.056004
440.0,515,19236.292331
960.0,542,19261.337384
440.0,514,19285.093479
680.0,567,19312.146662
0.0,612,19340.317188
200.0,611,19369.142729
520.0,690,19400.632647
1240.0,1269,19458.892494
1240.0,521,19483.696896
600.0,683,19514.631179
220.0,544,19539.453233
1360.0,783,19575.227983
120.0,664,19605.750923
940.0,692,19637.27652
480.0,589,19664.044966
360.0,692,19695.535941
160.0,517,19719.961283
1080.0,631,19748.936928
1360.0,661,19781.63451
340.0,359,19798.057691
560.0,498,19820.547698
800.0,624,19850.208729
640.0,402,19869.184441
880.0,735,19903.949493
760.0,789,19940.691735
1120.0,748,19975.06308
680.0,583,20002.50656
560.0,631,20031.132028
320.0,375,20048.143065
360.0,687,20079.986299
140.0,441,20100.44934
380.0,496,20122.790615
1000.0,509,20145.944456
220.0,742,20179.767135
560.0,388,20197.193049
240.0,718,20230.369111
900.0,520,20254.680661
220.0,494,20277.561603
700.0,519,20301.989258
500.0,569,20328.328731
580.0,805,20365.603096
320.0,512,20389.474662
460.0,528,20413.727902
540.0,868,20453.386995
660.0,578,20479.422354
240.0,348,20494.900057
1280.0,1100,20544.89226
480.0,626,20573.247542
740.0,538,20597.907094
740.0,674,20628.460984
380.0,532,20652.348048
400.0,725,20685.519337
1040.0,524,20710.19677
440.0,520,20735.3646
220.0,351,20751.811229
720.0,519,20775.699459
380.0,482,20798.489574
100.0,535,20823.109512
960.0,767,20858.108149
700.0,668,20889.032607
660.0,806,20925.746186
240.0,518,20949.501718
740.0,393,20967.670428
840.0,599,20995.311017
1260.0,457,21016.314829
500.0,736,21050.188122
920.0,883,21092.870355
760.0,518,21117.271035
420.0,519,21142.523867
120.0,516,21166.823684
580.0,543,21192.633479
640.0,517,21216.867456
460.0,533,21241.283366
120.0,428,21260.970548
600.0,627,21290.350873
0.0,583,21317.00134
220.0,573,21343.888117
560.0,506,21367.125287
460.0,407,21385.550797
680.0,490,21408.182948
240.0,595,21435.762709
440.0,1055,21485.086988
300.0,425,21504.363538
420.0,515,21527.926167
220.0,511,21551.774744
720.0,400,21570.294119
720.0,459,21591.608521
