# {"t_start": 1550232858.508675, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
399.0,700,17720.691694
462.0,1033,17767.309867
420.0,1164,17818.340393
399.0,650,17846.634598
252.0,617,17874.86889
294.0,794,17909.870439
357.0,666,17939.106109
252.0,702,17970.219891
189.0,595,17996.464419
441.0,1055,18043.024783
420.0,865,18081.706993
399.0,986,18125.680138
399.0,644,18153.941293
315.0,752,18187.535542
399.0,895,18227.511828
315.0,947,18269.15241
399.0,827,18305.590823
483.0,1019,18351.548422
546.0,1119,18401.341682
294.0,615,18428.580103
441.0,892,18468.836112
483.0,755,18501.892673
399.0,1003,18546.216683
336.0,652,18575.087888
399.0,838,18611.623896
399.0,767,18645.304726
399.0,961,18688.180976
399.0,974,18731.711742
357.0,608,18758.560553
525.0,1014,18803.785434
483.0,1116,18854.930446
378.0,961,18897.390898
420.0,804,18933.116135
336.0,652,18962.66365
525.0,1011,19007.233908
378.0,641,19034.809523
525.0,1024,19078.779297
483.0,1198,19132.330536
378.0,815,19168.734764
399.0,692,19199.754194
462.0,988,19243.845951
504.0,798,19278.935675
588.0,902,19319.402524
294.0,779,19353.249311
441.0,1251,19410.135896
399.0,903,19449.69411
294.0,770,19483.464338
378.0,702,19513.50467
273.0,730,19545.408322
273.0,508,19567.399025
504.0,1150,19617.755358
273.0,717,19648.625155
231.0,461,19668.3043
189.0,586,19693.508606
588.0,930,19734.548978
357.0,800,19769.586312
399.0,751,19802.353732
504.0,895,19842.695223
315.0,529,19865.715124
294.0,709,19896.648391
294.0,630,19924.853836
462.0,856,19962.667051
378.0,629,19990.004661
483.0,1115,20038.88667
315.0,755,20071.966435
294.0,570,20096.933271
315.0,714,20128.46129
294.0,864,20166.896188
483.0,895,20206.021356
504.0,865,20245.236579
378.0,582,20271.148135
441.0,978,20314.547158
504.0,920,20355.861236
399.0,961,20396.932142
294.0,730,20427.659081
588.0,1234,20480.118674
399.0,928,20520.592377
441.0,1134,20570.254169
399.0,803,20605.082332
651.0,1494,20670.373091
441.0,1087,20718.455547
231.0,659,20747.656865
567.0,1140,20797.528868
462.0,1022,20844.178767
315.0,508,20866.645938
378.0,1010,20910.25989
231.0,529,20932.758874
525.0,1120,20981.451414
273.0,701,21013.919886
420.0,896,21054.700897
441.0,842,21091.912682
462.0,1150,21143.142805
567.0,1217,21196.522606
651.0,1866,21280.347884
441.0,915,21321.352809
420.0,1230,21376.807791
693.0,1187,21429.242123
483.0,737,21461.377063
441.0,840,21498.072892
588.0,1187,21550.429923
504.0,1090,21599.645362
504.0,1020,21646.144758
294.0,863,21684.687378
315.0,685,21714.935962
336.0,730,21747.277758
441.0,1031,21793.230989
609.0,1278,21850.552451
399.0,1057,21898.030344
441.0,1184,21951.179353
441.0,937,21993.002578
441.0,989,22037.426519
378.0,827,22075.019732
357.0,660,22103.977451
483.0,1123,22153.762892
399.0,570,22178.82985
546.0,1379,22239.724176
399.0,928,22280.101814
588.0,1023,22325.840472
357.0,829,22363.755547
357.0,640,22392.46572
357.0,946,22434.19022
189.0,610,22460.58657
462.0,830,22497.771926
378.0,754,22530.881745
483.0,1162,22583.297515
504.0,998,22627.796127
399.0,734,22660.119792
609.0,1088,22708.691248
378.0,668,22737.919747
399.0,854,22775.397632
315.0,634,22803.322298
546.0,1102,22852.335689
399.0,918,22892.991475
525.0,1089,22941.272992
483.0,956,22983.379819
630.0,1244,23038.813097
441.0,1025,23084.590079
273.0,785,23118.924977
315.0,801,23154.170074
504.0,1378,23214.883748
399.0,638,23242.851701
378.0,704,23273.787107
567.0,1485,23339.38456
441.0,1247,23395.316719
462.0,802,23431.046226
567.0,956,23473.955358
357.0,669,23503.630944
